100001,80064,3,F
100002,21753,3,F
100003,7458,2,M
100004,4986,3,M
100005,72311,4,F
100006,6943,2,F
100007,4015,2,M
100008,5861,2,M
100009,36463,2,F
100010,4431,2,M
100011,21641,1,F
100012,15792,2,F
100013,28958,1,M
100014,10444,7,M
100015,823,3,M
100016,9021,2,M
100017,5909,2,M
100018,36138,1,M
100019,3732,1,M
100020,31134,3,F
100021,9084,3,M
100022,58064,5,M
100023,27431,2,F
100024,21506,2,F
100025,20299,3,F
100026,5303,2,F
100027,15387,3,F
100028,14965,3,M
100029,2715,3,M
100030,45617,3,F
100031,12349,3,F
100032,12292,2,F
100033,27296,1,M
100034,12057,1,M
100035,16256,1,M
100036,71093,4,M
100037,3972,2,M
100038,24035,3,F
100039,15554,1,F
100040,8755,3,M
100041,8515,2,F
100042,16395,2,M
100043,"",1,M
100044,4163,2,M
100045,32647,4,M
100046,808,1,F
100047,35002,2,F
100048,12826,1,M
100049,11044,3,F
100050,"",1,M
100051,4939,1,M
100052,5227,3,F
100053,15713,1,F
100054,42412,3,F
100055,1438,2,M
100056,9614,2,M
100057,65904,3,M
100058,4773,2,M
100059,7372,2,M
100060,8185,2,F
100061,11139,2,M
100062,11364,1,M
100063,54267,3,M
100064,3744,2,M
100065,12654,2,M
100066,5472,3,M
100067,19081,3,M
100068,20478,2,F
100069,9777,3,F
100070,19062,1,M
100071,17009,2,F
100072,14841,1,F
100073,34739,4,M
100074,6176,1,F
100075,4047,1,M
100076,"",1,M
100077,92085,5,F
100078,7816,2,F
100079,5398,1,F
100080,49818,3,F
100081,5025,2,F
100082,319,2,F
100083,29714,2,M
100084,3963,2,F
100085,14627,2,F
100086,7958,1,M
100087,33949,1,M
100088,11497,3,F
100089,18325,3,M
100090,15924,2,M
100091,15216,2,M
100092,28063,4,F
100093,3618,2,F
100094,15418,1,F
100095,26546,2,M
100096,22211,2,F
100097,9998,2,F
100098,19023,1,M
100099,9143,2,F
100100,34083,1,F
100101,20975,3,M
100102,74242,6,F
100103,1274,2,M
100104,58558,2,M
100105,24692,3,M
100106,58902,2,F
100107,43702,2,F
100108,2144,1,M
100109,31729,2,M
100110,16117,1,F
100111,55456,5,M
100112,32261,2,F
100113,40505,3,M
100114,24523,4,M
100115,29272,3,M
100116,40788,2,F
100117,65047,2,F
100118,"",2,M
100119,24286,2,F
100120,40103,3,M
100121,5646,1,M
100122,17663,2,F
100123,3173,1,M
100124,81845,6,F
100125,5362,2,F
100126,51244,2,M
100127,20465,3,M
100128,20893,2,M
100129,37896,3,F
100130,516,2,M
100131,6578,3,M
100132,25227,3,F
100133,7479,4,M
100134,4842,1,F
100135,24073,1,M
100136,98962,6,M
100137,28948,2,M
100138,3085,1,F
100139,19691,3,M
100140,21357,3,M
100141,12388,1,F
100142,30322,2,M
100143,6179,2,M
100144,5893,3,F
100145,2155,2,F
100146,15073,2,M
100147,31436,4,F
100148,14502,2,M
100149,3739,2,M
100150,101188,9,F
100151,3706,2,F
100152,9766,3,F
100153,23179,3,M
100154,7133,2,M
100155,10816,3,M
100156,23693,2,M
100157,7731,3,F
100158,10682,2,M
100159,194793,9,M
100160,26768,1,M
100161,10775,2,M
100162,78229,2,M
100163,25755,3,F
100164,3211,1,F
100165,7178,1,F
100166,4857,1,M
100167,58601,6,M
100168,5387,1,M
100169,14348,2,M
100170,3455,1,M
100171,9707,1,F
100172,17469,2,F
100173,22365,3,F
100174,35688,1,F
100175,3575,1,F
100176,68061,6,F
100177,32548,4,M
100178,5039,3,M
100179,4977,2,F
100180,21002,1,F
100181,6509,2,M
100182,22317,4,M
100183,121078,5,F
100184,23891,2,M
100185,11175,1,M
100186,1221,2,M
100187,6369,1,M
100188,5937,2,F
100189,5643,3,F
100190,20204,1,F
100191,22258,2,F
100192,25349,3,F
100193,8192,2,M
100194,7184,1,F
100195,14591,2,M
100196,36303,2,F
100197,9662,1,M
100198,29233,1,M
100199,55315,5,F
100200,16378,3,F
100201,40437,3,F
100202,2585,4,F
100203,45969,2,M
100204,"",2,M
100205,43029,2,F
100206,14427,2,M
100207,9987,3,M
100208,19403,2,M
100209,25365,4,M
100210,30529,1,F
100211,32359,2,F
100212,7012,3,M
100213,704,3,F
100214,4965,1,F
100215,121136,7,M
100216,36429,1,F
100217,25713,3,F
100218,8515,2,M
100219,15961,2,M
100220,124734,5,M
100221,20191,4,M
100222,32842,2,F
100223,1855,2,M
100224,47105,1,F
100225,6285,2,M
100226,18659,3,M
100227,1279,3,M
100228,87414,2,M
100229,3168,2,M
100230,19238,2,M
100231,11597,2,M
100232,2932,1,M
100233,6417,2,F
100234,28124,3,M
100235,37479,2,F
100236,5881,2,M
100237,45217,3,F
100238,2127,3,M
100239,13595,2,M
100240,3671,2,F
100241,22558,2,M
100242,4243,3,F
100243,2203,1,M
100244,9308,2,M
100245,"",2,M
100246,34715,1,M
100247,9771,1,M
100248,32166,3,F
100249,25461,3,F
100250,5941,3,F
100251,46787,3,F
100252,"",2,M
100253,230126,9,F
100254,3367,2,M
100255,15311,1,M
100256,11451,3,F
100257,16629,3,M
100258,26112,2,F
100259,7995,2,F
100260,387324,8,F
100261,3984,2,F
100262,16706,2,M
100263,13331,2,M
100264,8212,2,F
100265,"",2,F
100266,40604,4,M
100267,27402,2,M
100268,34828,1,M
100269,7725,2,F
100270,8755,2,M
100271,9091,3,M
100272,103688,10,F
100273,6723,2,M
100274,40553,2,F
100275,3449,1,F
100276,14686,2,F
100277,3626,1,F
100278,11668,1,M
100279,20841,3,M
100280,3635,2,M
100281,29664,3,M
100282,26161,3,M
100283,23345,2,M
100284,19926,2,F
100285,13319,1,M
100286,9926,2,F
100287,28715,2,M
100288,15026,2,F
100289,12345,2,F
100290,116618,7,F
100291,24019,2,F
100292,15704,3,F
100293,8526,6,F
100294,868,2,F
100295,9494,2,F
100296,30076,3,F
100297,28782,3,F
100298,55173,5,F
100299,3967,2,M
100300,3831,2,M
100301,8577,1,M
100302,40572,2,M
100303,12436,2,M
100304,9786,3,M
100305,32427,2,M
100306,6083,2,M
100307,2806,1,F
100308,7476,3,F
100309,5233,2,M
100310,1136,2,M
100311,22409,4,F
100312,16325,1,M
100313,8026,1,F
100314,8466,2,F
100315,184853,5,M
100316,17146,3,F
100317,31323,2,M
100318,33863,2,M
100319,3358,2,M
100320,38154,2,M
100321,14043,2,F
100322,68387,3,F
100323,38151,4,M
100324,"",1,M
100325,3183,1,M
100326,8781,2,F
100327,"",2,M
100328,32329,3,M
100329,118436,8,M
100330,15928,1,F
100331,50841,4,M
100332,3447,1,F
100333,15766,1,M
100334,35087,4,M
100335,17036,2,F
100336,31228,2,F
100337,164118,7,F
100338,8191,1,M
100339,7302,2,F
100340,16668,1,F
100341,36809,2,F
100342,14252,2,M
100343,"",1,F
100344,79095,3,F
100345,5886,2,F
100346,9148,1,M
100347,15586,2,F
100348,45877,1,F
100349,"",1,M
100350,20653,3,F
100351,21807,3,F
100352,"",2,M
100353,8124,2,M
100354,82969,6,M
100355,55107,4,F
100356,28671,3,F
100357,47198,2,F
100358,"",1,F
100359,63893,6,M
100360,24398,3,F
100361,"",1,M
100362,58832,4,F
100363,1122,2,M
100364,22324,2,F
100365,29021,3,M
100366,23171,3,F
100367,"",2,M
100368,19096,2,M
100369,1017,3,F
100370,"",1,M
100371,9802,2,M
100372,24161,3,F
100373,58064,5,M
100374,26955,4,F
100375,"",2,M
100376,10486,1,F
100377,90232,5,M
100378,2195,2,F
100379,72994,5,F
100380,10516,2,M
100381,42187,3,M
100382,986,1,M
100383,12965,2,F
100384,"",2,F
100385,19651,2,M
100386,24944,3,F
100387,37076,3,M
100388,37523,3,M
100389,16434,3,F
100390,64695,4,F
100391,28908,4,M
100392,8045,1,F
100393,5247,1,F
100394,6962,2,F
100395,50656,5,F
100396,796,2,F
100397,4921,1,M
100398,13208,2,F
100399,10253,2,M
100400,9083,3,M
100401,19314,1,F
100402,116046,7,F
100403,8667,2,F
100404,3993,1,M
100405,5579,2,F
100406,23391,1,M
100407,79339,5,F
100408,4413,1,F
100409,17769,2,M
100410,22538,2,M
100411,24357,2,F
100412,12112,1,F
100413,10511,1,F
100414,3306,2,M
100415,8237,3,F
100416,36726,1,M
100417,6599,3,F
100418,3207,3,M
100419,12935,3,M
100420,3272,4,M
100421,17486,3,M
100422,171,3,M
100423,4622,1,M
100424,3932,2,F
100425,18426,2,M
100426,838,5,F
100427,24214,1,F
100428,1483,1,M
100429,96525,4,M
100430,8759,3,M
100431,32517,3,M
100432,6619,3,F
100433,3631,1,M
100434,3726,1,F
100435,3445,2,F
100436,21673,1,M
100437,31378,2,F
100438,49412,1,M
100439,4314,2,F
100440,8952,2,F
100441,"",1,F
100442,19189,2,F
100443,1848,2,M
100444,1636,1,F
100445,19504,2,F
100446,9805,1,F
100447,5872,3,M
